size,time,wins,games_played,percent_wins
5,41,523,946,0.5528541226215645
6,41,527,924,0.5703463203463204
7,41,1263,2397,0.5269086357947435
8,41,1105,1997,0.5533299949924887
9,41,1151,2099,0.5483563601715102
5,30,151,249,0.606425702811245
6,30,132,225,0.5866666666666667
7,30,652,1197,0.5446950710108605
8,30,754,1297,0.5813415574402467
9,30,741,1300,0.57
10,30,321,533,0.6022514071294559
11,100,115,175,0.6571428571428571
12,100,115,175,0.6571428571428571
13,100,113,175,0.6457142857142857
14,100,114,175,0.6514285714285715
15,100,62,99,0.6262626262626263
16,100,57,99,0.5757575757575758
17,100,60,95,0.631578947368421
18,100,42,89,0.47191011235955055
19,100,58,95,0.6105263157894737
5,200,75,124,0.6048387096774194
6,200,60,100,0.6
7,200,70,100,0.7
8,200,75,100,0.75
9,200,76,100,0.76
10,200,59,75,0.7866666666666666
11,200,61,75,0.8133333333333334
12,200,59,75,0.7866666666666666
13,200,57,75,0.76
14,200,58,75,0.7733333333333333
5,300,44,74,0.5945945945945946
6,300,44,75,0.5866666666666667
7,300,52,75,0.6933333333333334
8,300,58,75,0.7733333333333333
9,300,58,75,0.7733333333333333
10,300,36,50,0.72
11,300,38,50,0.76
12,300,36,50,0.72
13,300,35,50,0.7
14,300,38,50,0.76
5,50,12,24,0.5
6,50,16,25,0.64
7,50,15,25,0.6
8,50,17,25,0.68
9,50,22,25,0.88
10,50,16,25,0.64
11,50,20,25,0.8
12,50,16,25,0.64
13,50,18,25,0.72
14,50,18,25,0.72
